"","max_prob","K","cultivar_names"
"1",0.7428,"K1","00C133-020"
"2",0.4388,"K2","01C_071-002"
"3",0.6201,"K1","02M_012-001"
"4",0.5406,"K3","03M_016-002"
"5",0.6352,"K1","03M_034-002"
"6",0.515,"K1","04C_055-004"
"7",0.5288,"K1","04C_126-005"
"8",0.4848,"K1","04M_034-013"
"9",0.5403,"K2","05M_002-001"
"10",0.5697,"K2","05M_004-003"
"11",0.4564,"K2","05M_012-004"
"12",0.5102,"K1","06C_127-002"
"13",0.6234,"K1","12288_AF_23"
"14",0.5336,"K3","12601AB1"
"15",0.6479,"K1","12636_A_2"
"16",0.5763,"K1","15119_AC_5"
"17",0.4419,"K2","1512C16"
"18",0.5714,"K2","15144_A_3"
"19",0.5292,"K3","1563C14"
"20",0.4746,"K2","2182EF7"
"21",0.6014,"K2","3681AD1"
"22",0.5956,"K2","5008AB6"
"23",0.4795,"K1","8204_A_4"
"24",0.7243,"K2","AGRIA"
"25",0.6309,"K1","AILSA"
"26",0.6895,"K2","ALMERA"
"27",0.5481,"K2","ALPHA"
"28",0.6867,"K2","ALWARA"
"29",0.4905,"K2","AMADRA"
"30",0.6866,"K1","AMOUR"
"31",0.4887,"K1","ANNA"
"32",0.803,"K2","ANNABELLE"
"33",0.573,"K2","ANYA"
"34",0.5686,"K1","ARGOS"
"35",0.6909,"K2","ARIELLE"
"36",0.6775,"K2","ARKULA"
"37",0.5676,"K2","ARMADA"
"38",0.5287,"K1","AVALANCHE"
"39",0.5948,"K1","BAILLIE"
"40",0.5454,"K2","BALMORAL"
"41",0.6706,"K1","BAMBINO"
"42",0.5395,"K2","BARNA"
"43",0.9137,"K3","BELLE_DE_FONTENAY"
"44",0.6246,"K1","BENOL"
"45",0.759,"K3","BF_15"
"46",0.4431,"K3","BINTJE"
"47",0.5014,"K2","BIONICA_EX_SASA"
"48",0.6261,"K2","BLUE_DANUBE"
"49",0.4639,"K2","BONNIE"
"50",0.6472,"K1","BOUNTY"
"51",0.5443,"K3","BRITISH_QUEEN"
"52",0.697,"K1","BRODICK"
"53",0.4742,"K1","BRODIE"
"54",0.5102,"K1","BUCHAN"
"55",0.5055,"K2","BURREN"
"56",0.5875,"K1","CABARET"
"57",0.7866,"K2","CAESAR"
"58",0.5589,"K1","CARA"
"59",0.4967,"K2","CARLINGFORD"
"60",0.5742,"K1","CASABLANCA"
"61",0.6005,"K2","CELINE"
"62",0.4969,"K2","CHALLENGER"
"63",0.5613,"K2","CHARLOTTE"
"64",0.5143,"K1","CHICAGO"
"65",0.4916,"K2","CHIEFTAIN"
"66",0.692,"K2","CHOPIN"
"67",0.4958,"K1","CLARET"
"68",0.432,"K2","CORINE"
"69",0.6052,"K2","COSMOS"
"70",0.6047,"K2","COURAGE"
"71",0.5185,"K2","COURLAN"
"72",0.5497,"K1","CRAIGS_ROYAL"
"73",0.447,"K3","CRAIGS_SNOW-WHITE"
"74",0.6453,"K1","CRAMOND"
"75",0.6132,"K2","CRISPS_FOR_ALL"
"76",0.6136,"K1","CROMWELL"
"77",0.6176,"K1","D22/1"
"78",0.4388,"K3","D23/3"
"79",0.6101,"K1","D47-11"
"80",0.6637,"K1","D49/1"
"81",0.4648,"K1","DAISY"
"82",0.5064,"K2","DARK_RED_NORLAND"
"83",0.5855,"K2","DARWINA"
"84",0.6921,"K2","DESIREE"
"85",0.677,"K2","DITTA"
"86",0.4736,"K2","DR._MCINTOSH"
"87",0.5633,"K2","DRAGA"
"88",0.5216,"K3","DUKE_OF_YORK"
"89",0.4497,"K3","DUNBAR_STANDARD"
"90",0.5552,"K1","DUNDROD"
"91",0.5584,"K3","ECLIPSE"
"92",0.6625,"K1","EDEN"
"93",0.4272,"K3","EDZELL_BLUE"
"94",0.6617,"K2","ELISABETH"
"95",0.4996,"K2","EMPEROR"
"96",0.4839,"K2","EOS"
"97",0.4892,"K3","EPICURE"
"98",0.5257,"K2","ERNTESTOLZ"
"99",0.6627,"K2","ESCORT"
"100",0.5136,"K2","ESMERALDA"
"101",0.5568,"K2","ESTIMA"
"102",0.4606,"K1","EVE_BALFOUR"
"103",0.7609,"K1","EXCALIBUR"
"104",0.7268,"K2","EXQUISA"
"105",0.6904,"K2","FESTIVAL"
"106",0.6584,"K2","FIANNA"
"107",0.6317,"K3","FIFTYFOLD"
"108",0.5891,"K2","FONTANE"
"109",0.6631,"K3","FORTYFOLD"
"110",0.4311,"K2","FRONTIER_RUSSET"
"111",0.4403,"K2","G.81071"
"112",0.4834,"K2","G.88661"
"113",0.4826,"K1","G.886611"
"114",0.5926,"K2","G.8867Y%12"
"115",0.8858,"K2","G.88839"
"116",0.7691,"K2","G.88842"
"117",0.5496,"K2","GALACTICA"
"118",0.3973,"K1","GEMSON"
"119",0.4775,"K3","GL.76B/102"
"120",0.5939,"K3","GL.76B/94"
"121",0.4852,"K1","GL.77M/106"
"122",0.708,"K3","GL.78/166"
"123",0.6229,"K3","GL.78/53"
"124",0.6479,"K3","GL.78/97"
"125",0.6142,"K3","GL.79/42"
"126",0.6304,"K3","GL.79/45"
"127",0.4929,"K3","GL.81_NT_25"
"128",0.638,"K2","GLADIATOR"
"129",0.5246,"K1","GLAMIS"
"130",0.6602,"K1","GOLDEN_MILLENNIUM"
"131",0.6297,"K2","GOLDEN_NUGGET"
"132",0.6594,"K3","GOLDEN_WONDER"
"133",0.6162,"K2","GRANOLA"
"134",0.5323,"K1","H1H3_101"
"135",0.5553,"K1","H1H3_3"
"136",0.8157,"K1","HARBOROUGH_HARVEST"
"137",0.5126,"K2","HARLEQUIN"
"138",0.6206,"K2","HERMES"
"139",0.8845,"K3","HIGHLAND_BUR._RED"
"140",0.3884,"K1","HOME_GUARD"
"141",0.5308,"K2","HORIZON"
"142",0.5177,"K2","INNOVATOR"
"143",0.9518,"K3","INTERNATIONAL_KIDNEY"
"144",0.5605,"K1","ISLE_OF_JURA"
"145",0.773,"K2","JULIETTE"
"146",0.4798,"K2","KARLENA"
"147",0.5866,"K3","KERR'S_PINK"
"148",0.7095,"K1","KESTREL"
"149",0.5721,"K2","KIFLI"
"150",0.8399,"K3","KING_EDWARD"
"151",0.5812,"K1","KINGSTON"
"152",0.4385,"K2","KUFRI_CHANDRAMUKHI"
"153",0.5395,"K2","KUFRI_JYOTI"
"154",0.7263,"K2","KURODA"
"155",0.4779,"K1","LADY_BALFOUR"
"156",0.4997,"K2","LADY_CHRISTL"
"157",0.6562,"K2","LADY_CLAIRE"
"158",0.5116,"K2","LADY_JO"
"159",0.5373,"K2","LADY_ROSETTA"
"160",0.5369,"K2","LIBERTAS"
"161",0.6721,"K2","LINDA"
"162",0.5293,"K2","LINTON"
"163",0.643,"K2","LINZER_DELIKATESS"
"164",0.6528,"K2","LIONHEART"
"165",0.6793,"K2","MADELEINE"
"166",0.5979,"K2","MADINGLEY"
"167",0.4951,"K2","MAJESTIC"
"168",0.8192,"K2","MARABEL"
"169",0.5458,"K2","MARFONA"
"170",0.6992,"K2","MARILYN"
"171",0.5307,"K2","MARIS_ANCHOR"
"172",0.4417,"K1","MARIS_BARD"
"173",0.4047,"K1","MARIS_PEER"
"174",0.7206,"K1","MARIS_PIPER"
"175",0.7139,"K2","MARKIES"
"176",0.5892,"K1","MAXINE"
"177",0.7132,"K2","MEGARA"
"178",0.5721,"K2","MELODY"
"179",0.4741,"K1","MIDAS"
"180",0.6653,"K2","MILVA"
"181",0.4446,"K1","MIMI"
"182",0.6194,"K2","MIRA"
"183",0.5747,"K2","MOIRA"
"184",0.6312,"K1","MONTROSE"
"185",0.4383,"K1","MORAG"
"186",0.6938,"K2","MORENE"
"187",0.7799,"K2","MOZART"
"188",0.8078,"K3","MYATT'S_ASHLEAF"
"189",0.596,"K1","NADINE"
"190",0.7649,"K1","NAVAN"
"191",0.4274,"K2","NDTX_4271_5-R"
"192",0.7158,"K2","NICOLA"
"193",0.6882,"K2","NOVELLA"
"194",0.523,"K1","OLYMPUS"
"195",0.6335,"K2","OPERA"
"196",0.6373,"K2","ORCHESTRA"
"197",0.7438,"K2","ORIANA"
"198",0.5751,"K1","OTHELLO"
"199",0.6337,"K1","PALADIN"
"200",0.7212,"K2","PANDA"
"201",0.6125,"K2","PARAMOUNT"
"202",0.5363,"K2","PATRONES"
