# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2025-Jan-27 13:03:09 GMT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	30	-1007893.896667	4.092591
2	30	-998884.863333	14.726975
3	30	-991988.890000	19.929018
4	30	-987605.506667	42.689245
5	30	-983856.990000	52.341085
6	30	-980992.193333	491.266826
7	30	-978327.840000	54.703663
8	30	-976237.630000	106.720338
9	30	-974297.350000	131.309752
10	30	-972569.650000	152.305631

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
str_K9_rep30_f		9	-974203.2	-970178.8	8048.8
str_K9_rep18_f		9	-974203.2	-970178.8	8048.8
str_K9_rep10_f		9	-974203.2	-970178.8	8048.8
str_K9_rep15_f		9	-974307.5	-970174.5	8266.1
str_K9_rep2_f		9	-974203.2	-970178.8	8048.8
str_K9_rep7_f		9	-974319.4	-970264.0	8110.9
str_K9_rep29_f		9	-974365.0	-970372.0	7985.9
str_K9_rep28_f		9	-974203.2	-970178.8	8048.8
str_K9_rep21_f		9	-974435.3	-970368.9	8132.9
str_K9_rep8_f		9	-974203.2	-970178.8	8048.8
str_K9_rep26_f		9	-974203.2	-970178.8	8048.8
str_K9_rep13_f		9	-974326.2	-970329.7	7992.9
str_K9_rep9_f		9	-974290.8	-970166.9	8247.6
str_K9_rep4_f		9	-974203.2	-970178.8	8048.8
str_K9_rep17_f		9	-974348.0	-970444.1	7807.9
str_K9_rep5_f		9	-974330.0	-970162.3	8335.3
str_K9_rep6_f		9	-974203.2	-970178.8	8048.8
str_K9_rep25_f		9	-974686.4	-970437.3	8498.3
str_K9_rep11_f		9	-974366.2	-970333.7	8065.1
str_K9_rep23_f		9	-974249.3	-970171.6	8155.3
str_K9_rep3_f		9	-974485.0	-970331.8	8306.4
str_K9_rep27_f		9	-974394.2	-970375.9	8036.5
str_K9_rep16_f		9	-974203.2	-970178.8	8048.8
str_K9_rep19_f		9	-974304.0	-970206.4	8195.2
str_K9_rep24_f		9	-974203.2	-970178.8	8048.8
str_K9_rep14_f		9	-974203.2	-970178.8	8048.8
str_K9_rep1_f		9	-974665.2	-970720.3	7889.8
str_K9_rep12_f		9	-974203.2	-970178.8	8048.8
str_K9_rep22_f		9	-974203.2	-970178.8	8048.8
str_K9_rep20_f		9	-974203.2	-970178.8	8048.8
str_K2_rep12_f		2	-998880.3	-997997.1	1766.3
str_K2_rep13_f		2	-998853.4	-997997.4	1712.1
str_K2_rep1_f		2	-998870.9	-997997.0	1747.8
