Plot,Block,System,Replicate,Year,Variety.name,Yield_Kg,Yield/plant_Kg,Emergence_DAP_Mean,Potato_eye_score_Mean,Tuber_Length_cm_Mean,Tuber_Width_cm_Mean,Tuber_L/W_ratio_Mean,Tuber_Volume_cm3_Mean,Integrated_canopy_volume_calculated,Integrated_canopy_volume_per_plant_calculated,Integrated_Ground_Cover_calculated,Integrated_Ground_Cover_per_plant_calculated,SPAD_Mean_at_54_DAP.,SPAD_Mean_at_69_DAP.,SPAD_Mean_at_75_DAP.,SPAD_Mean_at_84_DAP.,SPAD_Mean_at_89_DAP.,SPAD_Mean_at_105_DAP.,Leaf_Chl_mg/m2_Mean_at_54_DAP.,Leaf_Chl_mg/m2_Mean_at_69_DAP.,Leaf_Chl_mg/m2_Mean_at_75_DAP.,Leaf_Chl_mg/m2_Mean_at_84_DAP.,Leaf_Chl_mg/m2_Mean_at_89_DAP.,Leaf_Chl_mg/m2_Mean_at_105_DAP.,SPAD_Plant_1_at_54_DAP.,SPAD_Plant_1_at_69_DAP.,SPAD_Plant_1_at_75_DAP.,SPAD_Plant_1_at_84_DAP.,SPAD_Plant_1_at_89_DAP.,SPAD_Plant_1_at_105_DAP.,SPAD_Plant_2_at_54_DAP.,SPAD_Plant_2_at_69_DAP.,SPAD_Plant_2_at_75_DAP.,SPAD_Plant_2_at_84_DAP.,SPAD_Plant_2_at_89_DAP.,SPAD_Plant_2_at_105_DAP.,Leaf_Chl_mg/m2_Plant_1_at_54_DAP.,Leaf_Chl_mg/m2_Plant_1_at_69_DAP.,Leaf_Chl_mg/m2_Plant_1_at_75_DAP.,Leaf_Chl_mg/m2_Plant_1_at_84_DAP.,Leaf_Chl_mg/m2_Plant_1_at_89_DAP.,Leaf_Chl_mg/m2_Plant_1_at_105_DAP.,Leaf_Chl_mg/m2_Plant_2_at_54_DAP.,Leaf_Chl_mg/m2_Plant_2_at_69_DAP.,Leaf_Chl_mg/m2_Plant_2_at_75_DAP.,Leaf_Chl_mg/m2_Plant_2_at_84_DAP.,Leaf_Chl_mg/m2_Plant_2_at_89_DAP.,Leaf_Chl_mg/m2_Plant_2_at_105_DAP.,NDRE_at_55_DAP.,NDRE_at_70_DAP.,NDRE_at_75_DAP.,NDRE_at_84_DAP.,NDRE_at_87_DAP.,NDRE_at_97_DAP.,NDRE_at_109_DAP.,NDVI_at_55_DAP.,NDVI_at_70_DAP.,NDVI_at_75_DAP.,NDVI_at_84_DAP.,NDVI_at_87_DAP.,NDVI_at_97_DAP.,NDVI_at_109_DAP.,RE_at_55_DAP.,RE_at_70_DAP.,RE_at_75_DAP.,RE_at_84_DAP.,RE_at_87_DAP.,RE_at_97_DAP.,RE_at_109_DAP.,NIR_at_55_DAP.,NIR_at_70_DAP.,NIR_at_75_DAP.,NIR_at_84_DAP.,NIR_at_87_DAP.,NIR_at_97_DAP.,NIR_at_109_DAP.,R_at_55_DAP.,R_at_70_DAP.,R_at_75_DAP.,R_at_84_DAP.,R_at_87_DAP.,R_at_97_DAP.,R_at_109_DAP.,Max_Max_height_m,Max_Max_height_DAP.,Max_Ave_height_m,Max_Ave_height_DAP.,Max_area_plant_m2,Max_area_plant_DAP.,Max_volume_plant_m3,Max_volume_plant_DAP.,Mean_Height_m_at_33_DAP.,Mean_Height_m_at_62_DAP.,Mean_Height_m_at_70_DAP.,Mean_Height_m_at_87_DAP.,Mean_Height_m_at_95_DAP.,Mean_Height_m_at_102_DAP.,Mean_Height_m_at_117_DAP.,Mean_Height_sd_at_33_DAP.,Mean_Height_sd_at_62_DAP.,Mean_Height_sd_at_70_DAP.,Mean_Height_sd_at_87_DAP.,Mean_Height_sd_at_95_DAP.,Mean_Height_sd_at_102_DAP.,Mean_Height_sd_at_117_DAP.,Max_Height_m_at_33_DAP.,Max_Height_m_at_62_DAP.,Max_Height_m_at_70_DAP.,Max_Height_m_at_87_DAP.,Max_Height_m_at_95_DAP.,Max_Height_m_at_102_DAP.,Max_Height_m_at_117_DAP.,Ground_Cover_m2_at_33_DAP.,Ground_Cover_m2_at_62_DAP.,Ground_Cover_m2_at_70_DAP.,Ground_Cover_m2_at_87_DAP.,Ground_Cover_m2_at_95_DAP.,Ground_Cover_m2_at_102_DAP.,Ground_Cover_m2_at_117_DAP.,Ground_Cover_per_plant_m2_at_33_DAP.,Ground_Cover_per_plant_m2_at_62_DAP.,Ground_Cover_per_plant_m2_at_70_DAP.,Ground_Cover_per_plant_m2_at_87_DAP.,Ground_Cover_per_plant_m2_at_95_DAP.,Ground_Cover_per_plant_m2_at_102_DAP.,Ground_Cover_per_plant_m2_at_117_DAP.,Canopy_Volume_m3_at_33_DAP.,Canopy_Volume_m3_at_62_DAP.,Canopy_Volume_m3_at_70_DAP.,Canopy_Volume_m3_at_87_DAP.,Canopy_Volume_m3_at_95_DAP.,Canopy_Volume_m3_at_102_DAP.,Canopy_Volume_m3_at_117_DAP.,Canopy_Volume_per_plant_m3_at_33_DAP.,Canopy_Volume_per_plant_m3_at_62_DAP.,Canopy_Volume_per_plant_m3_at_70_DAP.,Canopy_Volume_per_plant_m3_at_87_DAP.,Canopy_Volume_per_plant_m3_at_95_DAP.,Canopy_Volume_per_plant_m3_at_102_DAP.,Canopy_Volume_per_plant_m3_at_117_DAP.
241,1,Org,1,2016,00C133-020,4.98,NA,NA,8.5,9.819285714,6.159071429,1.597102103,195.2460279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,2,Org,2,2016,00C133-020,6.48,NA,NA,10,10.24071429,6.265285714,1.637583086,214.4765632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,3,Con,1,2016,00C133-020,5.52,NA,NA,9,9.080857143,6.074428571,1.50794056,182.3943354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,4,Con,2,2016,00C133-020,7.32,NA,NA,10,10.22457143,6.3675,1.607653221,217.4951733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,1,Org,1,2017,00C133-020,6.81,2.27,33.66666667,9.857142857,10.77457143,6.589,1.651639429,247.9512764,20.66497287,6.888324288,64.273325,21.42444167,NA,NA,40.5,NA,38.3,34.6,NA,NA,754.7395,NA,724.6457,674.0334,NA,NA,43.8,NA,38.3,34.6,NA,NA,37.2,NA,NA,NA,NA,NA,799.8802,NA,724.6457,674.0334,NA,NA,709.5988,NA,NA,NA,NA,NA,0.2793,NA,0.2773,NA,0.3084,NA,NA,0.9037,NA,0.888,NA,0.8959,NA,NA,20.007,NA,20.032,NA,19.638,NA,NA,35.516,NA,35.409,NA,37.153,NA,NA,1.796,NA,2.101,NA,2.042,0.53,70,0.3321,87,0.460466667,87,0.152533333,87,NA,NA,0.323964717,0.332126104,NA,0.291630555,NA,NA,NA,0.101827902,0.063205208,NA,0.099053913,NA,NA,NA,0.53,0.5,NA,0.47,NA,NA,NA,1.1847,1.3814,NA,1.27889,NA,NA,NA,0.3949,0.460466667,NA,0.426296667,NA,NA,NA,0.3837,0.4576,NA,0.372216383,NA,NA,NA,0.1279,0.152533333,NA,0.124072128,NA
441,2,Org,2,2017,00C133-020,5.7,1.9,40,8.285714286,9.852714286,6.157142857,1.598304737,196.1299837,14.55314068,4.851046898,49.297075,16.43235832,NA,NA,38.2,NA,40.9,43.6,NA,NA,723.2778,NA,760.2111,797.1444,NA,NA,37.6,NA,40.9,43.6,NA,NA,38.8,NA,NA,NA,NA,NA,715.0704,NA,760.2111,797.1444,NA,NA,731.4852,NA,NA,NA,NA,NA,0.2103,NA,NA,NA,0.2586,NA,NA,0.8968,NA,NA,NA,0.8816,NA,NA,20.953,NA,NA,NA,20.28,NA,NA,32.112,NA,NA,NA,34.427,NA,NA,1.748,NA,NA,NA,2.166,0.57,70,0.2995,70,0.466003333,102,0.132566252,102,NA,NA,0.299564438,0.29763514,NA,0.285327358,NA,NA,NA,0.126340305,0.106822601,NA,0.092709208,NA,NA,NA,0.57,0.53,NA,0.47,NA,NA,NA,0.7255,1.3375,NA,1.39801,NA,NA,NA,0.241833333,0.445833333,NA,0.466003333,NA,NA,NA,0.2171,0.3975,NA,0.397698757,NA,NA,NA,0.072366667,0.1325,NA,0.132566252,NA
681,3,Con,1,2017,00C133-020,6.39,2.13,38.66666667,9.714285714,10.311,6.731785714,1.532072354,242.5903644,17.45823587,5.81941196,55.278675,18.42622502,NA,NA,39.95,NA,43.8,42.4,NA,NA,747.21605,NA,799.8802,780.7296,NA,NA,38.5,NA,43.8,42.4,NA,NA,41.4,NA,NA,NA,NA,NA,727.3815,NA,799.8802,780.7296,NA,NA,767.0506,NA,NA,NA,NA,NA,0.2925,NA,NA,NA,0.3567,NA,NA,0.8941,NA,NA,NA,0.9098,NA,NA,19.837,NA,NA,NA,19.06,NA,NA,36.24,NA,NA,NA,40.197,NA,NA,2.027,NA,NA,NA,1.898,0.55,87,0.3226,87,0.524536667,102,0.164299057,102,NA,NA,0.308058277,0.322600435,NA,0.314214195,NA,NA,NA,0.085914263,0.072929249,NA,0.093901313,NA,NA,NA,0.5,0.55,NA,0.54,NA,NA,NA,0.7859,1.4402,NA,1.57361,NA,NA,NA,0.261966667,0.480066667,NA,0.524536667,NA,NA,NA,0.241879619,0.467039812,NA,0.492897171,NA,NA,NA,0.08062654,0.155679937,NA,0.164299057,NA
1182,4,Con,2,2017,00C133-020,6.23,2.076666667,39.66666667,8.142857143,9.982285714,6.427357143,1.560164355,215.5036119,11.57366428,3.857888092,55.5499,18.51663333,NA,NA,40.6,NA,40.5,48.1,NA,NA,756.1074,NA,754.7395,858.6999,NA,NA,42.3,NA,40.5,48.1,NA,NA,38.9,NA,NA,NA,NA,NA,779.3617,NA,754.7395,858.6999,NA,NA,732.8531,NA,NA,NA,NA,NA,0.266,NA,0.3034,NA,0.2512,NA,NA,0.8865,NA,0.8679,NA,0.8819,NA,NA,20.185,NA,19.702,NA,20.389,NA,NA,34.838,NA,36.885,NA,34.113,NA,NA,2.093,NA,2.607,NA,2.137,0.46,87,0.2457,70,0.464533333,87,0.0851,87,NA,NA,0.245692826,0.184040614,NA,0.16273445,NA,NA,NA,0.105059726,0.09650988,NA,0.095799242,NA,NA,NA,0.45,0.46,NA,0.37,NA,NA,NA,0.9786,1.3936,NA,1.04116,NA,NA,NA,0.3262,0.464533333,NA,0.347053333,NA,NA,NA,0.239472162,0.2553,NA,0.168345076,NA,NA,NA,0.079824054,0.0851,NA,0.056115025,NA
97,1,Org,1,2018,00C133-020,2.92,0.973333333,26,NA,NA,NA,NA,NA,16.26463985,5.421546618,73.72415003,24.57471668,45.75,42.65,NA,41.3,NA,NA,826.55425,784.14935,NA,765.6827,NA,NA,43.5,44.4,NA,43,NA,NA,48,40.9,NA,39.6,NA,NA,795.7765,808.0876,NA,788.937,NA,NA,857.332,760.2111,NA,742.4284,NA,NA,0.3317,0.3174,NA,0.2896,NA,NA,NA,0.8861,0.8856,NA,0.8702,NA,NA,NA,19.353,19.527,NA,19.875,NA,NA,NA,38.567,37.687,NA,36.083,NA,NA,NA,2.329,2.285,NA,2.504,NA,NA,NA,0.6,95,0.2819,62,0.3513,95,0.079219466,95,0.087220132,0.281877729,NA,NA,0.228733276,NA,0.221129412,0.04944232,0.131266402,NA,NA,0.125767583,NA,0.111087594,0.21,0.57,NA,NA,0.6,NA,0.53,0.6378,0.8015,NA,NA,1.0539,NA,0.765,0.2126,0.267166667,NA,NA,0.3513,NA,0.255,0.053364681,0.223713063,NA,NA,0.237658398,NA,0.166669518,0.017788227,0.074571021,NA,NA,0.079219466,NA,0.055556506
600,2,Org,2,2018,00C133-020,3.86,1.286666667,22,NA,NA,NA,NA,NA,11.48290356,3.827634519,63.55360001,21.18453334,41.45,43.4,NA,43.6,NA,NA,767.73455,794.4086,NA,797.1444,NA,NA,41.2,40.3,NA,40.5,NA,NA,41.7,46.5,NA,46.7,NA,NA,764.3148,752.0037,NA,754.7395,NA,NA,771.1543,836.8135,NA,839.5493,NA,NA,0.3188,0.3284,NA,0.2926,NA,NA,NA,0.8724,0.8714,NA,0.8471,NA,NA,NA,19.509,19.394,NA,19.838,NA,NA,NA,37.773,38.356,NA,36.268,NA,NA,NA,2.574,2.637,NA,3,NA,NA,NA,0.46,95,0.2063,95,0.3262,95,0.066320228,95,0.066431606,0.205862016,NA,NA,0.206340691,NA,0.192287431,0.038525702,0.098174938,NA,NA,0.089660254,NA,0.099519486,0.17,0.36,NA,NA,0.46,NA,0.39,0.4708,0.6479,NA,NA,0.9786,NA,0.6492,0.156933333,0.215966667,NA,NA,0.3262,NA,0.2164,0.029738913,0.13115022,NA,NA,0.198960684,NA,0.122822697,0.009912971,0.04371674,NA,NA,0.066320228,NA,0.040940899
